Fri Oct 20 2017 20:16:12        1 m.c. r/rrwxrwxrwx 0        0        93426-128-1 /Users/Marcos/AppData/Local/Microsoft/Vault/UserProfileRoaming/Latest.dat
Fri Oct 20 2017 20:16:13      504 ...b d/drwxrwxrwx 0        0        93784-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329
                               78 macb d/drwxrwxrwx 0        0        93784-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93785-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93785-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93786-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93786-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296329/eventbeacons.dat ($FILE_NAME)
                              296 ...b d/drwxrwxrwx 0        0        93787-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/DiagOutputDir
                               92 macb d/drwxrwxrwx 0        0        93787-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/DiagOutputDir ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93788-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/280807
